年份,HS编码,HS编码描述,贸易伙伴,出口数量,数量单位,出口金额_美元,单价值_美元,贸易方式,数据来源,抓取时间
2022,851762,手机/通信终端设备,俄罗斯,44871755.0,,928474977.0,20.6917,,UN Comtrade,2026-03-15 21:12:01
2022,851762,手机/通信终端设备,全球,1945167783.14,,52941535376.0,27.217,,UN Comtrade,2026-03-15 21:11:32
2022,851762,手机/通信终端设备,巴西,50235385.0,,649942249.0,12.9379,,UN Comtrade,2026-03-15 21:11:57
2022,851762,手机/通信终端设备,德国,54766246.441,,1365706409.0,24.937,,UN Comtrade,2026-03-15 21:11:51
2022,851762,手机/通信终端设备,日本,63625112.0,,2506696069.0,39.3979,,UN Comtrade,2026-03-15 21:11:48
2022,851762,手机/通信终端设备,英国,42596257.0,,1758424174.0,41.2812,,UN Comtrade,2026-03-15 21:11:54
2022,851762,手机/通信终端设备,越南,67319944.0,,530203973.0,7.8759,,UN Comtrade,2026-03-15 21:11:42
2022,851762,手机/通信终端设备,韩国,51551817.0,,1231798602.0,23.8944,,UN Comtrade,2026-03-15 21:11:45
2023,851762,手机/通信终端设备,俄罗斯,53719952.0,,1049478808.0,19.5361,,UN Comtrade,2026-03-15 21:12:32
2023,851762,手机/通信终端设备,全球,1870906872.0,,43087637660.0,23.0303,,UN Comtrade,2026-03-15 21:12:04
2023,851762,手机/通信终端设备,巴西,59851305.0,,705709065.0,11.791,,UN Comtrade,2026-03-15 21:12:29
2023,851762,手机/通信终端设备,德国,45067371.0,,1177023876.0,26.117,,UN Comtrade,2026-03-15 21:12:23
2023,851762,手机/通信终端设备,日本,60102183.0,,2125775522.0,35.3694,,UN Comtrade,2026-03-15 21:12:20
2023,851762,手机/通信终端设备,英国,36818481.0,,1340308353.0,36.4031,,UN Comtrade,2026-03-15 21:12:26
2023,851762,手机/通信终端设备,越南,100162842.0,,837764603.0,8.364,,UN Comtrade,2026-03-15 21:12:14
2023,851762,手机/通信终端设备,韩国,42801429.0,,954051404.0,22.2902,,UN Comtrade,2026-03-15 21:12:17
2024,851762,手机/通信终端设备,俄罗斯,41540436.0,,892641253.0,21.4885,,UN Comtrade,2026-03-15 21:13:04
2024,851762,手机/通信终端设备,全球,2049126363.942,,39400339673.0,19.2279,,UN Comtrade,2026-03-15 21:12:35
2024,851762,手机/通信终端设备,巴西,72878499.0,,767890811.0,10.5366,,UN Comtrade,2026-03-15 21:13:00
2024,851762,手机/通信终端设备,德国,43620486.0,,1213742120.0,27.825,,UN Comtrade,2026-03-15 21:12:54
2024,851762,手机/通信终端设备,日本,58126813.0,,1780151195.0,30.6253,,UN Comtrade,2026-03-15 21:12:51
2024,851762,手机/通信终端设备,英国,33031883.0,,1072742746.0,32.476,,UN Comtrade,2026-03-15 21:12:57
2024,851762,手机/通信终端设备,越南,194401727.0,,949860036.0,4.8861,,UN Comtrade,2026-03-15 21:12:45
2024,851762,手机/通信终端设备,韩国,37937257.0,,866241959.0,22.8335,,UN Comtrade,2026-03-15 21:12:48
